"","Resultat","Kon","Alder","Utbildare"
"268",TRUE,"Man",18,"Trafikskola"
"269",FALSE,"Kvinna",18,"Privatist"
"270",FALSE,"Man",18,"Privatist"
"271",FALSE,"Kvinna",18,"Privatist"
"272",FALSE,"Man",18,"Privatist"
"273",FALSE,"Kvinna",18,"Privatist"
"274",FALSE,"Man",18,"Trafikskola"
"275",FALSE,"Man",18,"Privatist"
"276",TRUE,"Man",18,"Privatist"
"277",TRUE,"Man",18,"Privatist"
"278",FALSE,"Kvinna",18,"Privatist"
"279",TRUE,"Man",18,"Privatist"
"280",FALSE,"Kvinna",18,"Privatist"
"281",TRUE,"Man",18,"Trafikskola"
"282",TRUE,"Man",18,"Trafikskola"
"283",TRUE,"Man",18,"Trafikskola"
"284",TRUE,"Man",18,"Privatist"
"285",FALSE,"Kvinna",18,"Privatist"
"286",FALSE,"Kvinna",18,"Privatist"
"287",FALSE,"Kvinna",18,"Trafikskola"
"288",FALSE,"Man",18,"Privatist"
"289",TRUE,"Kvinna",18,"Privatist"
"290",FALSE,"Man",18,"Privatist"
"291",TRUE,"Man",18,"Trafikskola"
"292",FALSE,"Man",18,"Privatist"
"293",FALSE,"Man",18,"Privatist"
"294",TRUE,"Man",18,"Trafikskola"
"295",FALSE,"Kvinna",18,"Privatist"
"296",TRUE,"Kvinna",18,"Trafikskola"
"297",TRUE,"Man",18,"Trafikskola"
"298",TRUE,"Kvinna",18,"Privatist"
"299",FALSE,"Kvinna",18,"Privatist"
"300",TRUE,"Kvinna",18,"Trafikskola"
"301",TRUE,"Man",18,"Privatist"
"302",TRUE,"Kvinna",18,"Trafikskola"
"303",TRUE,"Man",18,"Privatist"
"304",TRUE,"Kvinna",18,"Privatist"
"305",FALSE,"Kvinna",18,"Privatist"
"306",FALSE,"Man",18,"Privatist"
"307",TRUE,"Man",18,"Trafikskola"
"308",FALSE,"Kvinna",18,"Privatist"
"309",FALSE,"Kvinna",18,"Privatist"
"310",FALSE,"Man",18,"Trafikskola"
"311",TRUE,"Man",18,"Privatist"
"312",TRUE,"Man",18,"Privatist"
"313",FALSE,"Man",18,"Privatist"
"314",FALSE,"Man",18,"Trafikskola"
"315",FALSE,"Kvinna",18,"Privatist"
"316",FALSE,"Kvinna",18,"Privatist"
"317",TRUE,"Man",18,"Privatist"
"318",FALSE,"Man",18,"Trafikskola"
"319",TRUE,"Kvinna",18,"Privatist"
"320",TRUE,"Man",18,"Privatist"
"321",TRUE,"Kvinna",18,"Privatist"
"322",TRUE,"Kvinna",18,"Privatist"
"323",FALSE,"Kvinna",18,"Privatist"
"324",TRUE,"Kvinna",18,"Privatist"
"325",TRUE,"Kvinna",18,"Trafikskola"
"326",TRUE,"Man",18,"Trafikskola"
"327",FALSE,"Man",18,"Privatist"
"328",FALSE,"Man",18,"Privatist"
"329",FALSE,"Kvinna",18,"Privatist"
"330",FALSE,"Kvinna",18,"Privatist"
"331",TRUE,"Kvinna",18,"Privatist"
"332",FALSE,"Kvinna",18,"Privatist"
"333",FALSE,"Man",18,"Privatist"
"334",FALSE,"Man",18,"Privatist"
"335",FALSE,"Man",18,"Trafikskola"
"336",TRUE,"Man",18,"Trafikskola"
"337",FALSE,"Man",18,"Privatist"
"338",TRUE,"Man",18,"Trafikskola"
"339",FALSE,"Man",18,"Trafikskola"
"340",FALSE,"Man",18,"Privatist"
"341",FALSE,"Man",18,"Trafikskola"
"342",FALSE,"Kvinna",18,"Privatist"
"343",TRUE,"Kvinna",18,"Privatist"
"344",TRUE,"Man",18,"Privatist"
"345",FALSE,"Kvinna",18,"Trafikskola"
"346",TRUE,"Man",18,"Privatist"
"347",TRUE,"Man",18,"Privatist"
"348",FALSE,"Kvinna",18,"Trafikskola"
"349",TRUE,"Kvinna",18,"Privatist"
"350",TRUE,"Kvinna",18,"Trafikskola"
"351",FALSE,"Man",18,"Trafikskola"
"352",FALSE,"Kvinna",18,"Privatist"
"353",TRUE,"Kvinna",18,"Privatist"
"354",TRUE,"Kvinna",18,"Privatist"
"355",FALSE,"Kvinna",18,"Privatist"
"356",TRUE,"Man",18,"Privatist"
"357",FALSE,"Kvinna",18,"Privatist"
"358",FALSE,"Kvinna",18,"Privatist"
"359",FALSE,"Man",18,"Privatist"
"360",TRUE,"Man",18,"Trafikskola"
"361",FALSE,"Kvinna",18,"Privatist"
"362",FALSE,"Man",18,"Privatist"
"363",TRUE,"Kvinna",18,"Privatist"
"364",FALSE,"Man",18,"Privatist"
"365",FALSE,"Kvinna",18,"Privatist"
"366",TRUE,"Man",18,"Privatist"
"367",TRUE,"Kvinna",18,"Privatist"
"368",FALSE,"Kvinna",18,"Privatist"
"369",FALSE,"Kvinna",18,"Privatist"
"370",TRUE,"Kvinna",18,"Privatist"
"371",TRUE,"Man",18,"Privatist"
"372",TRUE,"Man",18,"Privatist"
"373",FALSE,"Kvinna",18,"Trafikskola"
"374",TRUE,"Man",18,"Privatist"
"375",TRUE,"Kvinna",18,"Trafikskola"
"376",TRUE,"Man",18,"Privatist"
"377",TRUE,"Man",18,"Trafikskola"
"378",TRUE,"Kvinna",18,"Trafikskola"
"379",FALSE,"Man",18,"Trafikskola"
"380",TRUE,"Man",18,"Privatist"
"381",TRUE,"Man",18,"Privatist"
"382",TRUE,"Man",18,"Trafikskola"
"383",FALSE,"Man",18,"Trafikskola"
"384",TRUE,"Kvinna",18,"Privatist"
"385",TRUE,"Man",18,"Trafikskola"
"386",TRUE,"Kvinna",18,"Privatist"
"387",TRUE,"Kvinna",18,"Privatist"
"388",TRUE,"Man",18,"Trafikskola"
"389",TRUE,"Kvinna",18,"Trafikskola"
"390",FALSE,"Man",18,"Privatist"
"391",TRUE,"Man",18,"Trafikskola"
"392",FALSE,"Man",18,"Privatist"
"393",TRUE,"Kvinna",18,"Trafikskola"
"394",TRUE,"Man",18,"Privatist"
"395",FALSE,"Man",18,"Trafikskola"
"396",TRUE,"Man",18,"Privatist"
"397",FALSE,"Man",18,"Privatist"
"398",TRUE,"Kvinna",18,"Privatist"
"399",FALSE,"Man",18,"Privatist"
"400",TRUE,"Man",18,"Privatist"
"401",FALSE,"Kvinna",18,"Privatist"
"402",FALSE,"Man",18,"Privatist"
"403",TRUE,"Man",18,"Privatist"
"404",TRUE,"Man",18,"Privatist"
"405",FALSE,"Man",18,"Privatist"
"406",FALSE,"Man",18,"Privatist"
"407",FALSE,"Kvinna",18,"Privatist"
"408",FALSE,"Man",18,"Privatist"
"409",FALSE,"Kvinna",18,"Trafikskola"
"410",TRUE,"Man",18,"Privatist"
"411",TRUE,"Kvinna",18,"Privatist"
"412",TRUE,"Kvinna",18,"Privatist"
"413",FALSE,"Kvinna",18,"Privatist"
"414",TRUE,"Man",18,"Privatist"
"415",FALSE,"Man",18,"Trafikskola"
